"","Variable","Term","Beta","StandardError","Z","P","LRT","Wald","LogRank","HR","HRlower","HRupper"
"1","SLC22A4","X64",-1.06102185098059,0.0935656089781434,-11.3398700929573,8.32679746259519e-30,1.14024569797545e-28,8.32679746259519e-30,6.68107688823294e-32,0.346101964939961,0.288111686184455,0.415764357640849
"2","NXT2","X50",0.783810527490124,0.080891905345698,9.68960397385187,3.33820538417739e-22,1.05930520602877e-19,3.33820538417739e-22,1.53758880162173e-23,2.18980068328983,1.86874168074506,2.5660191999489
"3","NETO2","X45",1.022785090777,0.110909283442692,9.22181677700127,2.92108274375567e-20,5.35835395066196e-21,2.92108274375565e-20,1.92549140951943e-19,2.78092912857857,2.23760677271655,3.45617778444061
"4","HAPLN4","X108",1.04075978215577,0.122202881321148,8.51665501585567,1.64227781705608e-17,9.52307153717782e-21,1.64227781705609e-17,2.54350894187706e-19,2.83136741977024,2.22831687508789,3.59762184425418
"5","CACNA1D","X6",-0.549172498032302,0.062002843457171,-8.85721472454157,8.20384174145206e-19,2.09436982117907e-13,8.203841741452e-19,5.82043203845545e-19,0.577427435074272,0.511352635291296,0.652040137793591
"6","FNBP1","X88",-0.691981580669254,0.0751216152383462,-9.21148431744621,3.21645917980303e-20,3.9120040866539e-16,3.21645917980303e-20,7.25053480832016e-19,0.500583139733128,0.432048581019582,0.579989128059927
"7","CD9","X58",-0.614329830875606,0.0737894501678379,-8.32544258668795,8.40142473824973e-17,6.02264985176621e-14,8.40142473824973e-17,8.41723709449012e-18,0.541003337579982,0.468155629984058,0.625186567301662
"8","RACK1","X76",0.713738117264652,0.0868091485158033,8.22192279808756,2.00266094750891e-16,2.92154392144205e-15,2.00266094750889e-16,1.05859568768552e-17,2.04160878522035,1.7221875474457,2.42027439930744
"9","ZNF732","X24",0.82051452905845,0.0987278842530626,8.31086916595195,9.50036256758185e-17,1.14808492022372e-16,9.50036256758185e-17,2.15061179298851e-17,2.27166837627381,1.87200758834935,2.75665400283594
"10","KCNQ3","X47",-0.589040874623279,0.0737200450628284,-7.99024029517704,1.34675989237123e-15,3.01734838884685e-13,1.34675989237123e-15,1.50482304631026e-16,0.55485920915063,0.48021108665419,0.641111274886008
"11","DEPDC4","X116",0.822848381764728,0.097334888237316,8.45378668087139,2.82004336685352e-17,1.13227976479098e-16,2.8200433668535e-17,3.41952121929975e-16,2.27697630721674,1.88151161891739,2.75556156629507
"12","PPIA","X104",0.649773832567022,0.0825773107799782,7.86867271929334,3.58423464870267e-15,1.53000475146045e-13,3.58423464870266e-15,4.56441050885913e-16,1.91510764504973,1.6289331274662,2.25155792480746
"13","NMRK1","X21",-0.622065665677908,0.0778123326558942,-7.99443538633958,1.3016900139438e-15,2.74726352318241e-13,1.30169001394379e-15,1.24201853692389e-15,0.536834371141119,0.460899605478602,0.625279645746759
"14","TMEM178B","X43",-0.659247229048986,0.0859609977355641,-7.66914352340329,1.73148607045609e-14,4.12329213720415e-13,1.73148607045611e-14,5.68404877754289e-15,0.517240551639599,0.437041252649713,0.612156831050609
"15","OSTF1","X82",-0.606959654279744,0.0796254537069618,-7.62268377789697,2.48455017622909e-14,4.01077689584888e-12,2.48455017622909e-14,2.31952924866751e-14,0.545005357397668,0.466254957301755,0.637056689565501
"16","RIPPLY2","X13",0.655605567719677,0.0867533365344062,7.5571222261828,4.1208470609968e-14,1.61973580026346e-12,4.12084706099677e-14,1.09790471797089e-13,1.92630867459861,1.62510455064996,2.28333931398431
